causa_de_muerte;sexo;periodo;muertes;poblacion;tasa_mortalidad;causa_muerte_categoría
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1980;987;1684490;58.59;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1981;1020;1721573;59.25;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1982;989;1748866;56.55;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1983;925;1777165;52.05;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1984;943;1804686;52.25;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1985;1035;1833591;56.45;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1986;976;1879026;51.94;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1987;1027;1940681;52.92;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1988;1160;2007437;57.79;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1989;1255;2072463;60.56;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1990;1343;2136519;62.86;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1991;1364;2197924;62.06;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1992;1400;2264728;61.82;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1993;1562;2328741;67.07;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1994;1480;2397576;61.73;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1995;1653;2466010;67.03;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1996;1685;2540147;66.33;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1997;1635;2609082;62.67;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1998;1684;2683704;62.75;I. Infecciosas
